имат,have
казвам,say
това,this
неговият,his
Какво,what
техен,their
мога,can
получавам,get
би се,would
всичко,all
направи,make
относно,about
зная,know
един,one
време,time
година,year
мисля,think
кога,when
който,which
някои,some
хората,people
предприеме,take
навън,out
просто,just
него,him
Вашият,your
идвам,come
бих могъл,could
сега,now
отколкото,than
като,like
друго,other
тогава,then
неговото,its
нашият,our
Повече ▼,more
тези,these
искам,want
начин,way
първи,first
също,also
защото,because
използване,use
човек,man
намирам,find
нещо,thing
дайте,give
много,many
добре,well
само,only
тези,those
казвам,tell
много,very
дори,even
обратно,back
всякакви,any
добре,good
жена,woman
през,through
живот,life
дете,child
работа,work
надолу,down
може,may
след,after
Трябва,should
повикване,call
свят,world
училище,school
все още,still
опитвам,try
последно,last
питам,ask
трябва,need
също,too
Усещам,feel
състояние,state
никога,never
да стане,become
между,between
Високо,high
наистина ли,really
нещо,something
повечето,most
друг,another
много,much
семейство,family
собствен,own
напускам,leave
слагам,put
стар,old
докато,while
означава,mean
пазя,keep
студент,student
защо,why
позволявам,let
страхотен,great
един и същ,same
голям,big
група,group
започвам,begin
Изглежда,seem
държава,country
помогне,help
говоря,talk
където,where
завой,turn
проблем,problem
всеки,every
започнете,start
ръка,hand
биха могли, може,might
американски,American
част,part
срещу,against
място,place
такива,such
отново,again
малцина,few
случай,case
седмица,week
търговско дружество,company
система,system
всеки,each
точно,right
програма,program
чувам,hear
въпрос,question
по време на,during
играя,play
правителство,government
тичам,run
малък,small
номер,number
изключено,off
винаги,always
на живо,live
точка,point
вярвам,believe
задръжте,hold
днес,today
донеси,bring
случи се,happen
следващия,next
преди,before
голям,large
милиона,million
трябва да,must
У дома,home
вода,water
стая,room
пишете,write
майка,mother
■ площ,area
национален,national
пари,money
история,story
млад,young
факт,fact
месец,month
различно,different
много,lot
проучване,study
Книга,book
работа,job
дума,word
все пак,though
бизнес,business
проблем,issue
страна,side
четири,four
глава,head
далеч,far
черен,black
дълго,long
и двете,both
малко,little
къща,house
предоставят,provide
обслужване,service
наоколо,around
приятел,friend
важно,important
баща,father
седни,sit
далеч,away
мощност,power
игра,game
често,often
линия,line
политически,political
край,end
между,among
някога,ever
стойка,stand
лошо,bad
губя,lose
въпреки това,however
член,member
заплащане,pay
закон,law
Среща,meet
кола,car
град,city
почти,almost
включват,include
продължи,continue
комплект,set
по късно,later
общност,community
веднъж,once
бяло,white
най-малко,least
президент,president
истински,real
промяна,change
екип,team
минута,minute
най-доброто,best
няколко,several
идея,idea
хлапе,kid
тяло,body
информация,information
Нищо,nothing
преди,ago
водя,lead
социални,social
разбирам,understand
дали,whether
гледам,watch
заедно,together
последвам,follow
родител,parent
Спри се,stop
лице,face
нещо,anything
създавам,create
публичен,public
вече,already
говори,speak
други,others
Прочети,read
ниво,level
позволява,allow
добавете,add
офис,office
харча,spend
врата,door
здраве,health
човек,person
изкуство,art
сигурен,sure
война,war
история,history
партия,party
в рамките на,within
растат,grow
резултат,result
отворен,open
сутрин,morning
разходка,walk
причина,reason
ниско,low
печеля,win
изследвания,research
момиче,girl
човек,guy
рано,early
храна,food
момент,moment
себе си,himself
въздух,air
учител,teacher
сила,force
оферта,offer
достатъчно,enough
образование,education
през,across
макар че,although
помня,remember
крак,foot
второ,second
момче,boy
може би,maybe
способен,able
възраст,age
политика,policy
всичко,everything
любов,love
процес,process
музика,music
включително,including
обмисли,consider
се появи,appear
всъщност,actually
Купува,buy
вероятно,probably
човек,human
изчакайте,wait
сервирам,serve
пазар,market
изпрати,send
очаквам,expect
смисъл,sense
изграждане,build
престой,stay
падане,fall
нация,nation
план,plan
разрез,cut
колеж,college
интерес,interest
смърт,death
курс,course
някой,someone
опит,experience
отзад,behind
достигнат,reach
местен,local
убивам,kill
шест,six
остават,remain
ефект,effect
предполагам,suggest
клас,class
контрол,control
повишавам,raise
грижа,care
може би,perhaps
късен,late
твърд,hard
поле,field
друго,else
бившия,former
продавам,sell
майор,major
понякога,sometimes
изискват,require
заедно,along
развитие,development
себе си,themselves
отчет,report
роля,role
По-добре,better
икономически,economic
усилие,effort
реши,decide
процент,rate
силен,strong
възможен,possible
сърце,heart
лекарство,drug
лидер,leader
светлина,light
глас,voice
съпруга,wife
цяло,whole
полиция,police
накрая,finally
дръпнете,pull
връщане,return
Безплатно,free
военни,military
цена,price
по-малко,less
Според,according
решение,decision
обясни,explain
надежда,hope
развиват се,develop
изглед,view
връзка,relationship
носят,carry
град,town
шофиране,drive
ръка,arm
ВЯРНО,TRUE
федерален,federal
прекъсвам,break
разлика,difference
благодаря,thank
получавам,receive
стойност,value
международни,international
сграда,building
действие,action
пълен,full
модел,model
присъединяване,join
сезон,season
общество,society
данък,tax
директор,director
позиция,position
играч,player
Съгласен,agree
особено,especially
запис,record
избирам,pick
износване,wear
хартия,paper
специален,special
пространство,space
земята,ground
форма,form
поддържа,support
събитие,event
официален,official
чийто,whose
материя,matter
всеки,everyone
център,center
двойка,couple
сайт,site
проект,project
удари,hit
база,base
дейност,activity
звезда,star
маса,table
съдебна зала,court
произвеждат,produce
Яжте,eat
преподавам,teach
масло,oil
половината,half
ситуация,situation
лесно,easy
цена,cost
индустрия,industry
фигура,figure
улица,street
образ,image
себе си,itself
телефон,phone
данни,data
Покрийте,cover
доста,quite
снимка,picture
ясно,clear
практика,practice
парче,piece
земя,land
скорошни,recent
описвам,describe
продукт,product
лекар,doctor
стена,wall
търпелив,patient
работник,worker
Новини,news
тест,test
филм,movie
определени,certain
север,north
лични,personal
просто,simply
трети,third
технология,technology
улов,catch
стъпка,step
бебе,baby
компютър,computer
внимание,attention
рисувам,draw
филм,film
републиканец,Republican
дърво,tree
източник,source
червен,red
почти,nearly
организация,organization
избирам,choose
причина,cause
коса,hair
доказателства,evidence
прозорец,window
труден,difficult
слушам,listen
скоро,soon
култура,culture
милиард,billion
шанс,chance
брат,brother
енергия,energy
месечен цикъл,period
лятото,summer
осъзнавам,realize
на разположение,available
растение,plant
вероятно,likely
възможност,opportunity
срок,term
писмо,letter
състояние,condition
избор,choice
единичен,single
правило,rule
дъщеря,daughter
администрация,administration
съпруг,husband
Конгрес,Congress
етаж,floor
кампания,campaign
материал,material
население,population
икономика,economy
медицински,medical
болница,hospital
църква,church
близо,close
хиляди,thousand
риск,risk
текущ,current
огън,fire
бъдеще,future
грешно,wrong
включвам,involve
защита,defense
всеки,anyone
нараства,increase
сигурност,security
банка,bank
себе си,myself
със сигурност,certainly
запад,west
спорт,sport
дъска,board
търси,seek
предмет,subject
офицер,officer
частен,private
Почивка,rest
поведение,behavior
сделка,deal
производителност,performance
битка,fight
хвърлям,throw
Горна част,top
бързо,quickly
минало,past
легло,bed
поръчка,order
автор,author
запълвам,fill
представлявам,represent
фокус,focus
чуждестранен,foreign
изпускайте,drop
кръв,blood
върху,upon
агенция,agency
тласък,push
природа,nature
цвят,color
наскоро,recently
магазин,store
намалявам,reduce
звук,sound
Забележка,note
глоба,fine
близо до,near
движение,movement
страница,page
влизам,enter
често срещани,common
бедни,poor
естествено,natural
раса,race
загриженост,concern
серия,series
значително,significant
подобен,similar
горещ,hot
език,language
обикновено,usually
отговор,response
мъртъв,dead
покачване,rise
животно,animal
фактор,factor
десетилетие,decade
статия,article
стреля,shoot
изток,east
спаси,save
седем,seven
художник,artist
сцена,scene
наличност,stock
кариера,career
въпреки,despite
централен,central
осем,eight
по този начин,thus
лечение,treatment
отвъд,beyond
щастлив,happy
точно,exactly
защитавам,protect
Приближаване,approach
лъжа,lie
размер,size
куче,dog
фонд,fund
сериозно,serious
възникне,occur
медии,media
готов,ready
знак,sign
мисъл,thought
списък,list
индивидуален,individual
просто,simple
качество,quality
налягане,pressure
приемам,accept
отговор,answer
ресурс,resource
идентифицирам,identify
наляво,left
среща,meeting
определяне на,determine
приготви се,prepare
заболяване,disease
както и да е,whatever
успех,success
спорят,argue
чаша,cup
особено,particularly
количество,amount
способност,ability
персонал,staff
разпознае,recognize
посочвам,indicate
характер,character
растеж,growth
загуба,loss
степен,degree
чудя се,wonder
атака,attack
себе си,herself
регион,region
телевизия,television
кутия,box
обучение,training
красива,pretty
търговия,trade
избори,election
всички,everybody
физически,physical
лежи,lay
чувство,feeling
стандартен,standard
законопроект,bill
съобщение,message
провалят се,fail
навън,outside
пристигат,arrive
анализ,analysis
полза,benefit
секс,sex
напред,forward
адвокат,lawyer
настояще,present
раздел,section
околната среда,environmental
стъклена чаша,glass
умение,skill
сестра,sister
професор,professor
операция,operation
финансови,financial
престъпност,crime
сцена,stage
сравнявам,compare
власт,authority
дизайн,design
десет,ten
знания,knowledge
пистолет,gun
станция,station
стратегия,strategy
ясно,clearly
обсъждам,discuss
наистина,indeed
истина,truth
песен,song
пример,example
демократичен,democratic
проверка,check
околен свят,environment
крак,leg
тъмно,dark
различни,various
по-скоро,rather
смея се,laugh
познайте,guess
изпълнителен,executive
докажи,prove
виси,hang
цяла,entire
забрави,forget
претенция,claim
Премахване,remove
мениджър,manager
наслади се,enjoy
мрежа,network
правен,legal
религиозен,religious
студ,cold
финал,final
основен,main
наука,science
зелено,green
памет,memory
карта,card
по-горе,above
седалка,seat
клетка,cell
установявам,establish
хубаво,nice
пробен период,trial
експерт,expert
пролет,spring
твърд,firm
демократ,Democrat
радио,radio
посещение,visit
управление,management
да се избегне,avoid
представям си,imagine
тази нощ,tonight
огромен,huge
топка,ball
завършек,finish
себе си,yourself
теория,theory
въздействие,impact
отговарям,respond
изявление,statement
поддържам,maintain
зареждане,charge
популярен,popular
традиционен,traditional
върху,onto
разкрие,reveal
посока,direction
оръжие,weapon
служител,employee
културен,cultural
съдържат,contain
спокойствие,peace
болка,pain
Приложи,apply
мярка,measure
широк,wide
клатя,shake
летя,fly
интервю,interview
управлявам,manage
Председател,chair
риба,fish
конкретно,particular
камера,camera
структура,structure
политика,politics
изпълнявам,perform
малко,bit
тегло,weight
внезапно,suddenly
откривам,discover
кандидат,candidate
производство,production
лечение,treat
пътуване,trip
вечер,evening
засягат,affect
вътре,inside
конференция,conference
мерна единица,unit
стил,style
възрастен,adult
тревожи се,worry
диапазон,range
споменавам,mention
Дълбок,deep
ръб, край,edge
специфичен,specific
писател,writer
неприятности,trouble
необходимо,necessary
навсякъде,throughout
предизвикателство,challenge
страх,fear
рамо,shoulder
институция,institution
средата,middle
море,sea
мечта,dream
красив,beautiful
Имот,property
вместо,instead
подобрявам,improve
неща,stuff
детайл,detail
метод,method
някой,somebody
списание,magazine
хотел,hotel
войник,soldier
отразявам,reflect
тежък,heavy
сексуален,sexual
чанта,bag
топлина,heat
брак,marriage
жилав,tough
повърхност,surface
предназначение,purpose
съществуват,exist
модел,pattern
на когото,whom
кожата,skin
агент,agent
собственик,owner
машина,machine
напред,ahead
поколение,generation
търговски,commercial
адрес,address
реалност,reality
треньор,coach
г-жа,Mrs
Двор,yard
победи,beat
насилие,violence
обща сума,total
склонен,tend
инвестиции,investment
дискусия,discussion
пръст на ръката,finger
градина,garden
забележете,notice
колекция,collection
модерен,modern
задача,task
партньор,partner
положителен,positive
граждански,civil
кухня,kitchen
консуматор,consumer
изстрел,shot
бюджет,budget
желание,wish
живопис,painting
учен,scientist
безопасно,safe
споразумение,agreement
капитал,capital
устата,mouth
нито,nor
жертва,victim
вестник,newspaper
заплаха,threat
отговорност,responsibility
Усмихни се,smile
адвокат,attorney
резултат,score
сметка,account
интересно,interesting
публика,audience
богат,rich
вечеря,dinner
гласуване,vote
уестърн,western
отнасят се,relate
пътуване,travel
дебат,debate
предотвратявам,prevent
гражданин,citizen
мнозинство,majority
нито един,none
отпред,front
роден,born
признавам,admit
Старши,senior
предполагам,assume
вятър,wind
ключ,key
професионален,professional
мисия,mission
бърз,fast
клиент,customer
страдам,suffer
успешен,successful
опция,option
участник,participant
южен,southern
свежи,fresh
в крайна сметка,eventually
гора,forest
видео,video
глобален,global
Сенат,Senate
реформа,reform
достъп,access
ресторант,restaurant
съдия,judge
публикувам,publish
отношение,relation
освобождаване,release
птица,bird
мнение,opinion
кредит,credit
критичен,critical
ъгъл,corner
обезпокоен,concerned
припомням си,recall
версия,version
взират,stare
безопасност,safety
ефективен,effective
квартал,neighborhood
оригинален,original
войска,troop
доходи,income
директно,directly
боли,hurt
видове,species
веднага,immediately
песен,track
основен,basic
стачка,strike
небе,sky
свобода,freedom
абсолютно,absolutely
самолет,plane
Никой,nobody
постигам,achieve
обект,object
поведение,attitude
труд,labor
се отнасят,refer
концепция,concept
клиент,client
мощен,powerful
перфектен,perfect
девет,nine
Следователно,therefore
поведение, ръководене,conduct
обявявам,announce
разговор,conversation
изследвам,examine
докосване,touch
Моля те,please
присъстват,attend
напълно,completely
разнообразие,variety
участващи,involved
разследване,investigation
ядрен,nuclear
изследовател,researcher
Натиснете,press
конфликт,conflict
замени,replace
британски,British
насърчавам,encourage
аргумент,argument
лагер,camp
мозък,brain
особеност,feature
следобед,afternoon
уикенд,weekend
дузина,dozen
възможност,possibility
застраховка,insurance
отдел,department
битка,battle
начало,beginning
дата,date
в общи линии,generally
африкански,African
съжалявам,sorry
криза,crisis
пълен,complete
вентилатор,fan
пръчка,stick
дефинирам,define
лесно,easily
дупка,hole
елемент,element
визия,vision
състояние,status
нормално,normal
Китайски,Chinese
кораб,ship
решение,solution
камък,stone
бавно,slowly
мащаб,scale
университет,university
въвеждам,introduce
шофьор,driver
опит,attempt
паркирам,park
място,spot
липса,lack
лодка,boat
питие,drink
слънце,sun
разстояние,distance
дърво,wood
дръжка,handle
камион,truck
планина,mountain
изследване,survey
предполагаем,supposed
традиция,tradition
зимата,winter
село,village
съветски,Soviet
отказвам,refuse
продажби,sales
ролка,roll
комуникация,communication
екран,screen
печалба,gain
резидент,resident
Крия,hide
злато,gold
клуб,club
ферма,farm
потенциал,potential
европейски,European
присъствие,presence
независима,independent
окръг,district
форма,shape
читател,reader
договор,contract
тълпа,crowd
Кристиян,Christian
експресен,express
апартамент,apartment
желаещи,willing
сила,strength
предишен,previous
банда,band
очевидно,obviously
заинтересовани,interested
затвор,prison
езда,ride
пазач,guard
условия,terms
търсене,demand
репортер,reporter
доставям,deliver
текст,text
инструмент,tool
превозно средство,vehicle
наблюдавайте,observe
полет,flight
съоръжение,facility
разбиране,understanding
средно аритметично,average
изплуват,emerge
предимство,advantage
бързо,quick
лидерство,leadership
печелят,earn
паунд,pound
база,basis
ярък,bright
оперират,operate
гост,guest
проба,sample
допринасят,contribute
мъничък,tiny
блок,block
защита,protection
установявам се,settle
фураж,feed
събирам,collect
допълнителен,additional
силно,highly
идентичност,identity
заглавие,title
предимно,mostly
урок,lesson
вяра,faith
река,river
насърчавам,promote
броя,count
освен ако,unless
ожени се,marry
утре,tomorrow
техника,technique
магазин,shop
народни,folk
принцип,principle
оцеляват,survive
вдигам,lift
граница,border
състезание,competition
скок,jump
събирам,gather
лимит,limit
годни,fit
плача,cry
оборудване,equipment
заслужава си,worth
сътрудник,associate
критик,critic
топло,warm
аспект,aspect
настоявам,insist
провал,failure
годишен,annual
Френски,French
Коледа,Christmas
коментар,comment
отговорен,responsible
афера,affair
процедура,procedure
редовен,regular
разпространение,spread
председател,chairman
бейзбол,baseball
мека,soft
игнорирайте,ignore
яйце,egg
вяра,belief
демонстрирам,demonstrate
някой,anybody
убийство,murder
подарък,gift
религия,religion
преглед,review
редактор,editor
ангажирам се,engage
кафе,coffee
документ,document
скорост,speed
кръст,cross
влияние,influence
така или иначе,anyway
заплашвам,threaten
ангажирам,commit
женски пол,female
младост,youth
вълна,wave
страхувам се,afraid
четвърт,quarter
заден план,background
местен,native
широк,broad
чудесен,wonderful
отричам,deny
очевидно,apparently
леко,slightly
реакция,reaction
два пъти,twice
костюм,suit
перспектива,perspective
нарастващ,growing
удар,blow
строителство,construction
интелигентност,intelligence
унищожавам,destroy
готвач,cook
Връзка,connection
горя,burn
обувка,shoe
клас,grade
контекст,context
комитет,committee
грешка,mistake
местоположение,location
дрехи,clothes
индийски,Indian
тихо,quiet
рокля,dress
обещание,promise
наясно,aware
съсед,neighbor
функция,function
костен,bone
активен,active
разшири,extend
главен,chief
съчетавам,combine
вино,wine
По-долу,below
готино,cool
избирател,voter
изучаване на,learning
автобус,bus
по дяволите,hell
опасно,dangerous
напомням,remind
морален,moral
Юнайтед,United
категория,category
относително,relatively
победа,victory
академичен,academic
интернет,Internet
здрави,healthy
отрицателен,negative
следното,following
исторически,historical
лекарство,medicine
обиколка,tour
зависят,depend
снимка,photo
находка,finding
грабвам,grab
директен,direct
класна стая,classroom
контакт,contact
справедливост,justice
участвам,participate
ежедневно,daily
справедлив,fair
двойка,pair
известен,famous
упражнение,exercise
коляно,knee
цвете,flower
лента,tape
наемам,hire
познат,familiar
подходящо,appropriate
доставка,supply
напълно,fully
актьор,actor
раждане,birth
Търсене,search
връзвам,tie
демокрация,democracy
източен,eastern
първичен,primary
вчера,yesterday
кръг,circle
устройство,device
прогрес,progress
отдолу,bottom
остров,island
обмен,exchange
чиста,clean
студио,studio
влак,train
дама,lady
колега,colleague
приложение,application
врата,neck
постно,lean
щета,damage
пластмаса,plastic
висок,tall
плоча,plate
омраза,hate
в противен случай,otherwise
писане,writing
мъжки,male
изразяване,expression
футбол,football
възнамерявам,intend
пиле,chicken
армия,army
злоупотреба,abuse
театър,theater
затвори,shut
карта,map
екстра,extra
сесия,session
опасност,danger
добре дошли,welcome
домашни,domestic
много,lots
литература,literature
дъжд,rain
желание,desire
Оценяване,assessment
нараняване,injury
уважение,respect
северен,northern
кимам,nod
гориво,fuel
листо,leaf
суха,dry
Руски,Russian
инструкция,instruction
басейн,pool
изкачвам се,climb
сладка,sweet
двигател,engine
четвърто,fourth
разширяване,expand
важност,importance
метал,metal
дебел,fat
билет,ticket
софтуер,software
изчезва,disappear
корпоративен,corporate
странно,strange
устна,lip
четене,reading
градски,urban
психически,mental
все повече,increasingly
обяд,lunch
образователен,educational
някъде,somewhere
земеделски производител,farmer
захар,sugar
планета,planet
любими,favorite
изследвайте,explore
получавам,obtain
враг,enemy
най велик,greatest
комплекс,complex
обграждам,surround
спортист,athlete
покани,invite
повторете,repeat
внимателно,carefully
душа,soul
научен,scientific
невъзможен,impossible
панел,panel
значение,meaning
мама,mom
женен,married
инструмент,instrument
прогнозирам,predict
метеорологично време,weather
президентски,presidential
емоционален,emotional
ангажираност,commitment
Върховен,Supreme
мечка,bear
джоб,pocket
тънък,thin
температура,temperature
изненада,surprise
анкета,poll
предложение,proposal
следствие,consequence
гледка,sight
баланс,balance
осиновявам,adopt
малцинство,minority
прав,straight
свържете се,connect
върши работа,works
преподаване,teaching
принадлежат,belong
помощ,aid
съвет,advice
добре,okay
снимка,photograph
празен,empty
регионален,regional
пътека,trail
роман,novel
някак си,somehow
организирам,organize
жури,jury
гърди,breast
иракски,Iraqi
признавам,acknowledge
тема,theme
буря,storm
съюз,union
бюро,desk
Благодаря,thanks
плодове,fruit
скъпо,expensive
жълто,yellow
заключение,conclusion
първичен,prime
сянка,shadow
борба,struggle
заключавам,conclude
анализатор,analyst
танцувам,dance
регулиране,regulation
същество,being
пръстен,ring
до голяма степен,largely
смяна,shift
приходи,revenue
марка,mark
локализирам,locate
окръг,county
външен вид,appearance
пакет,package
трудност,difficulty
мост,bridge
Препоръчвам,recommend
очевидно,obvious
основно,basically
електронна поща,e-mail
генерирам,generate
вече,anymore
предлагам,propose
мислене,thinking
евентуално,possibly
тенденция,trend
посетител,visitor
заем,loan
понастоящем,currently
удобно,comfortable
инвеститор,investor
печалба,profit
ядосан,angry
екипаж,crew
злополука,accident
хранене,meal
слух,hearing
трафик,traffic
мускул,muscle
представа,notion
улавяне,capture
предпочитам,prefer
наистина,truly
земя,earth
японски,Japanese
гръден кош,chest
дебел,thick
пари в брой,cash
музей,museum
красота,beauty
спешен случай,emergency
единствен по рода си,unique
вътрешни,internal
етнически,ethnic
връзка,link
стрес,stress
съдържание,content
изберете,select
корен,root
декларирам,declare
оценявам,appreciate
действителен,actual
бутилка,bottle
едва ли,hardly
настройка,setting
стартиране,launch
файл,file
болен,sick
резултат,outcome
защитавам,defend
задължение,duty
лист,sheet
би трябвало,ought
осигурете,ensure
католик,Catholic
изключително,extremely
степен,extent
компонент,component
разбъркайте,mix
дългосрочен,long-term
бавен,slow
контраст,contrast
зона,zone
събуждам,wake
летище,airport
кафяво,brown
риза,shirt
пилот,pilot
предупреждавам,warn
в крайна сметка,ultimately
котка,cat
принос,contribution
капацитет,capacity
себе си,ourselves
имоти,estate
ръководство,guide
обстоятелство,circumstance
сняг,snow
Английски,English
политик,politician
крадат,steal
преследвам,pursue
приплъзване,slip
процент,percentage
месо,meat
забавен,funny
нито едното,neither
почва,soil
операция,surgery
правилно,correct
еврейски,Jewish
обвинявам,blame
оценка,estimate
в следствие,due
